date,SnoqualmieBase,SnoqualmieSummit
12/31/2014 23:00,12.04,33.05
12/31/2014 22:00,11.42,32.2
12/31/2014 21:00,11.36,31.46
12/31/2014 20:00,13.64,24.11
12/31/2014 19:00,14.51,27.12
12/31/2014 18:00,15.12,25.55
12/31/2014 17:00,16.28,25.65
12/31/2014 16:00,18.99,27.2
12/31/2014 15:00,21.58,27.44
12/31/2014 14:00,23.74,27.34
12/31/2014 13:00,23.18,27.12
12/31/2014 12:00,19.74,26.18
12/31/2014 11:00,17.41,26.55
12/31/2014 10:00,13.27,26.8
12/31/2014 9:00,11.42,26.08
12/31/2014 8:00,10.31,23.43
12/31/2014 7:00,11.3,20.65
12/31/2014 6:00,11.86,25.24
12/31/2014 5:00,13.15,30.42
12/31/2014 4:00,13.09,26.44
12/31/2014 3:00,13.03,24.15
12/31/2014 2:00,11.79,23.19
12/31/2014 1:00,11.92,21.62
12/31/2014 0:00,10.5,19.93
12/30/2014 23:00,8.78,21.62
12/30/2014 22:00,8.77,18.24
12/30/2014 21:00,8.83,18.24
12/30/2014 20:00,9.45,17.86
12/30/2014 19:00,10.68,18.1
12/30/2014 18:00,11.98,16.41
12/30/2014 17:00,13.39,16.15
12/30/2014 16:00,16.96,16.27
12/30/2014 15:00,20.65,16.03
12/30/2014 14:00,27.62,16.17
12/30/2014 13:00,25.22,15.22
12/30/2014 12:00,22.26,11.39
12/30/2014 11:00,19.56,10.44
12/30/2014 10:00,15.25,9.73
12/30/2014 9:00,13.09,5.988
12/30/2014 8:00,12.9,4.178
12/30/2014 7:00,12.53,2.85
12/30/2014 6:00,11.18,3.205
12/30/2014 5:00,11.55,3.564
12/30/2014 4:00,12.78,3.56
12/30/2014 3:00,14.38,4.887
12/30/2014 2:00,14.51,6.087
12/30/2014 1:00,16.48,6.806
12/30/2014 0:00,17.04,7.16
12/29/2014 23:00,18.33,8.37
12/29/2014 22:00,18.45,8.84
12/29/2014 21:00,18.58,9.68
12/29/2014 20:00,18.57,10.04
12/29/2014 19:00,18.69,10.15
12/29/2014 18:00,20.41,10.75
12/29/2014 17:00,21.7,11.57
12/29/2014 16:00,23.8,13.5
12/29/2014 15:00,25.89,14.81
12/29/2014 14:00,28.72,17
12/29/2014 13:00,29.84,16.27
12/29/2014 12:00,28.61,14.61
12/29/2014 11:00,26.33,15.94
12/29/2014 10:00,26.14,15.84
12/29/2014 9:00,24.17,16.33
12/29/2014 8:00,24.97,16.33
12/29/2014 7:00,25.22,16.93
12/29/2014 6:00,23.55,16.44
12/29/2014 5:00,25.4,16.92
12/29/2014 4:00,26.08,17.16
12/29/2014 3:00,27.07,17.28
12/29/2014 2:00,27.81,18.36
12/29/2014 1:00,28.36,19.09
12/29/2014 0:00,28.73,19.93
12/28/2014 23:00,28.42,20.17
12/28/2014 22:00,28.61,20.29
12/28/2014 21:00,28.24,20.88
12/28/2014 20:00,29.1,20.88
12/28/2014 19:00,28.92,20.99
12/28/2014 18:00,28.48,20.87
12/28/2014 17:00,29.41,21.6
12/28/2014 16:00,30.33,22.92
12/28/2014 15:00,31.57,24.13
12/28/2014 14:00,31.87,25.82
12/28/2014 13:00,33.23,26.3
12/28/2014 12:00,32.55,22.94
12/28/2014 11:00,32.18,23.67
12/28/2014 10:00,32,23.19
12/28/2014 9:00,30.09,21.86
12/28/2014 8:00,29.22,21.5
12/28/2014 7:00,29.1,21.86
12/28/2014 6:00,29.78,22.1
12/28/2014 5:00,29.84,22.58
12/28/2014 4:00,30.52,22.46
12/28/2014 3:00,31.2,22.58
